[14:58:19] [WARN ] Failed to parse recipe 'minecraft:lapis_lazuli[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:lapis_lazuli[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:iron_pickaxe[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:iron_pickaxe[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:iron_leggings[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:iron_leggings[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:mushroom_stew[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:mushroom_stew[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:iron_chestplate[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:iron_chestplate[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:clock[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:clock[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:diamond_leggings[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:diamond_leggings[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:wooden_shovel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:wooden_shovel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_helmet[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_helmet[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_leggings[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_leggings[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe 'minecraft:netherite_shovel[unknown:type]'! Falling back to vanilla: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
[14:58:19] [WARN ] Failed to parse recipe minecraft:netherite_shovel[unknown:type]: com.google.gson.JsonSyntaxException: Missing type, expected to find a string
